REEF_ID,REEF_NAME,A_SECTOR,SHELF,LAT,LON,SITE_LAT,SITE_LON,SITE_NO,TRANSECT_NO,REPORT_YEAR,COVER,DISTURBANCE,COTS,STORM,BLEACHING,DISEASE,C,S,B,D,BENT_CLUST,CLUSTER,CONNECTEDNESS,AREA,RST,RSTY,HC,HC_1,HERB,HERB2,iZONE,sZONE,PFp,PFs,PFt,PFsum
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,1995,15.29,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_1995,15.29,-999,36,18,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,1996,28.39,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_1996,28.39,15.29,42,11,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,1997,21.5,C,1,0,0,0,0.533,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_1997,21.5,28.39,40,22,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,1998,22.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_1998,22.5,21.5,58,28,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,1999,22.38,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_1999,22.38,22.5,30,13,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2000,17.44,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2000,17.44,22.38,31,15,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2001,22.61,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2001,22.61,17.44,33,13,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2002,11.62,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2002,11.62,22.61,28,15,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2003,23,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2003,23,11.62,56,37,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2004,19,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2004,19,23,36,19,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2005,21.11,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2005,21.11,19,33,12,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2006,-999,21.11,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2007,27,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2007,27,-999,39,22,1,1,0.00454245,0.0167471,0.116079,0.13736855
