,ID,Region,Location,Lat,Long,Size_km2,Bleaching,Year
1980,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1980
1981,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1981
1982,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1982
1983,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1983
1984,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1984
1985,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1985
1986,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1986
1987,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1987
1988,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1988
1989,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1989
1990,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1990
1991,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1991
1992,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1992
1993,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1993
1994,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1994
1995,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1995
1996,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1996
1997,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1997
1998,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,S,1998
1999,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,1999
2000,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2000
2001,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2001
2002,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,S,2002
2003,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2003
2004,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,M,2004
2005,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2005
2006,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2006
2007,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2007
2008,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2008
2009,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2009
2010,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2010
2011,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2011
2012,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2012
2013,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2013
2014,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2014
2015,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,N,2015
2016,1,Australasia,"Australia, Coral Sea Northern",16.5S,149.8E,1165,S,2016
